initial_alias,converted_alias,name,description,namespace
112,ENSG00000174233,ADCY6,adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237],ENTREZGENE_ACC
113,ENSG00000121281,ADCY7,adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238],ENTREZGENE_ACC
114,ENSG00000155897,ADCY8,adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239],ENTREZGENE_ACC
115,ENSG00000162104,ADCY9,adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240],ENTREZGENE_ACC
196883,ENSG00000129467,ADCY4,adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235],ENTREZGENE_ACC
55811,ENSG00000143199,ADCY10,adenylate cyclase 10 [Source:HGNC Symbol;Acc:HGNC:21285],ENTREZGENE_ACC
132,ENSG00000156110,ADK,adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257],ENTREZGENE_ACC
11164,ENSG00000165609,NUDT5,nudix hydrolase 5 [Source:HGNC Symbol;Acc:HGNC:8052],ENTREZGENE_ACC
53343,ENSG00000170502,NUDT9,nudix hydrolase 9 [Source:HGNC Symbol;Acc:HGNC:8056],ENTREZGENE_ACC
353,ENSG00000198931,APRT,adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626],ENTREZGENE_ACC
9060,ENSG00000198682,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604],ENTREZGENE_ACC
9061,ENSG00000138801,PAPSS1,3'-phosphoadenosine 5'-phosphosulfate synthase 1 [Source:HGNC Symbol;Acc:HGNC:8603],ENTREZGENE_ACC
158,ENSG00000239900,ADSL,adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291],ENTREZGENE_ACC
122622,ENSG00000185100,ADSS1,adenylosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:20093],ENTREZGENE_ACC
159,ENSG00000035687,ADSS2,adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292],ENTREZGENE_ACC
10331,ENSG00000179913,B3GNT3,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]",ENTREZGENE_ACC
10678,ENSG00000170340,B3GNT2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15629]",ENTREZGENE_ACC
11041,ENSG00000174684,B4GAT1,"beta-1,4-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15685]",ENTREZGENE_ACC
146712,ENSG00000175711,B3GNTL1,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1 [Source:HGNC Symbol;Acc:HGNC:21727]",ENTREZGENE_ACC
374907,ENSG00000177191,B3GNT8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:24139]",ENTREZGENE_ACC
79369,ENSG00000176383,B3GNT4,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:15683]",ENTREZGENE_ACC
93010,ENSG00000156966,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:18811]",ENTREZGENE_ACC
79814,ENSG00000116771,AGMAT,agmatinase [Source:HGNC Symbol;Acc:HGNC:18407],ENTREZGENE_ACC
10554,ENSG00000204310,AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324],ENTREZGENE_ACC
10555,ENSG00000169692,AGPAT2,1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325],ENTREZGENE_ACC
129642,ENSG00000143797,MBOAT2,membrane bound O-acyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25193],ENTREZGENE_ACC
137964,ENSG00000158669,GPAT4,glycerol-3-phosphate acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20880],ENTREZGENE_ACC
55326,ENSG00000155189,AGPAT5,1-acylglycerol-3-phosphate O-acyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:20886],ENTREZGENE_ACC
56894,ENSG00000160216,AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326],ENTREZGENE_ACC
56895,ENSG00000026652,AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885],ENTREZGENE_ACC
8540,ENSG00000018510,AGPS,alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327],ENTREZGENE_ACC
10768,ENSG00000168710,AHCYL1,adenosylhomocysteinase like 1 [Source:HGNC Symbol;Acc:HGNC:344],ENTREZGENE_ACC
191,ENSG00000101444,AHCY,adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343],ENTREZGENE_ACC
23382,ENSG00000158467,AHCYL2,adenosylhomocysteinase like 2 [Source:HGNC Symbol;Acc:HGNC:22204],ENTREZGENE_ACC
3073,ENSG00000213614,HEXA,hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878],ENTREZGENE_ACC
3074,ENSG00000049860,HEXB,hexosaminidase subunit beta [Source:HGNC Symbol;Acc:HGNC:4879],ENTREZGENE_ACC
471,ENSG00000138363,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:794],ENTREZGENE_ACC
1645,ENSG00000187134,AKR1C1,aldo-keto reductase family 1 member C1 [Source:HGNC Symbol;Acc:HGNC:384],ENTREZGENE_ACC
1109,ENSG00000198610,AKR1C4,aldo-keto reductase family 1 member C4 [Source:HGNC Symbol;Acc:HGNC:387],ENTREZGENE_ACC
6718,ENSG00000122787,AKR1D1,aldo-keto reductase family 1 member D1 [Source:HGNC Symbol;Acc:HGNC:388],ENTREZGENE_ACC
11212,ENSG00000147471,PLPBP,pyridoxal phosphate binding protein [Source:HGNC Symbol;Acc:HGNC:9457],ENTREZGENE_ACC
211,ENSG00000023330,ALAS1,5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396],ENTREZGENE_ACC
212,ENSG00000158578,ALAS2,5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397],ENTREZGENE_ACC
248,ENSG00000163295,ALPI,"alkaline phosphatase, intestinal [Source:HGNC Symbol;Acc:HGNC:437]",ENTREZGENE_ACC
249,ENSG00000162551,ALPL,"alkaline phosphatase, biomineralization associated [Source:HGNC Symbol;Acc:HGNC:438]",ENTREZGENE_ACC
250,ENSG00000163283,ALPP,"alkaline phosphatase, placental [Source:HGNC Symbol;Acc:HGNC:439]",ENTREZGENE_ACC
251,ENSG00000163286,ALPG,"alkaline phosphatase, germ cell [Source:HGNC Symbol;Acc:HGNC:441]",ENTREZGENE_ACC
239,ENSG00000108839,ALOX12,"arachidonate 12-lipoxygenase, 12S type [Source:HGNC Symbol;Acc:HGNC:429]",ENTREZGENE_ACC
242,ENSG00000179477,ALOX12B,"arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]",ENTREZGENE_ACC
246,ENSG00000161905,ALOX15,arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433],ENTREZGENE_ACC
247,ENSG00000179593,ALOX15B,arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434],ENTREZGENE_ACC
240,ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435],ENTREZGENE_ACC
23600,ENSG00000242110,AMACR,alpha-methylacyl-CoA racemase [Source:HGNC Symbol;Acc:HGNC:451],ENTREZGENE_ACC
115286,ENSG00000144741,SLC25A26,solute carrier family 25 member 26 [Source:HGNC Symbol;Acc:HGNC:20661],ENTREZGENE_ACC
270,ENSG00000116748,AMPD1,adenosine monophosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:468],ENTREZGENE_ACC
271,ENSG00000116337,AMPD2,adenosine monophosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:469],ENTREZGENE_ACC
272,ENSG00000133805,AMPD3,adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470],ENTREZGENE_ACC
290,ENSG00000166825,ANPEP,"alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]",ENTREZGENE_ACC
318,ENSG00000164978,NUDT2,nudix hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:8049],ENTREZGENE_ACC
113451,ENSG00000142920,AZIN2,antizyme inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:29957],ENTREZGENE_ACC
383,ENSG00000118520,ARG1,arginase 1 [Source:HGNC Symbol;Acc:HGNC:663],ENTREZGENE_ACC
384,ENSG00000081181,ARG2,arginase 2 [Source:HGNC Symbol;Acc:HGNC:664],ENTREZGENE_ACC
435,ENSG00000126522,ASL,argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746],ENTREZGENE_ACC
445,ENSG00000130707,ASS1,argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758],ENTREZGENE_ACC
10166,ENSG00000102743,SLC25A15,solute carrier family 25 member 15 [Source:HGNC Symbol;Acc:HGNC:10985],ENTREZGENE_ACC
83884,ENSG00000120329,SLC25A2,solute carrier family 25 member 2 [Source:HGNC Symbol;Acc:HGNC:22921],ENTREZGENE_ACC
410,ENSG00000100299,ARSA,arylsulfatase A [Source:HGNC Symbol;Acc:HGNC:713],ENTREZGENE_ACC
427,ENSG00000104763,ASAH1,N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735],ENTREZGENE_ACC
80150,ENSG00000162174,ASRGL1,asparaginase and isoaspartyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:16448],ENTREZGENE_ACC
440,ENSG00000070669,ASNS,asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753],ENTREZGENE_ACC
2571,ENSG00000128683,GAD1,glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092],ENTREZGENE_ACC
790,ENSG00000084774,CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:HGNC Symbol;Acc:HGNC:1424]",ENTREZGENE_ACC
10312,ENSG00000110719,TCIRG1,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]",ENTREZGENE_ACC
127124,ENSG00000151418,ATP6V1G3,ATPase H+ transporting V1 subunit G3 [Source:HGNC Symbol;Acc:HGNC:18265],ENTREZGENE_ACC
23545,ENSG00000185344,ATP6V0A2,ATPase H+ transporting V0 subunit a2 [Source:HGNC Symbol;Acc:HGNC:18481],ENTREZGENE_ACC
245972,ENSG00000147614,ATP6V0D2,ATPase H+ transporting V0 subunit d2 [Source:HGNC Symbol;Acc:HGNC:18266],ENTREZGENE_ACC
245973,ENSG00000143882,ATP6V1C2,ATPase H+ transporting V1 subunit C2 [Source:HGNC Symbol;Acc:HGNC:18264],ENTREZGENE_ACC
50617,ENSG00000105929,ATP6V0A4,ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866],ENTREZGENE_ACC
51382,ENSG00000100554,ATP6V1D,ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527],ENTREZGENE_ACC
51606,ENSG00000047249,ATP6V1H,ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303],ENTREZGENE_ACC
523,ENSG00000114573,ATP6V1A,ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851],ENTREZGENE_ACC
525,ENSG00000116039,ATP6V1B1,ATPase H+ transporting V1 subunit B1 [Source:HGNC Symbol;Acc:HGNC:853],ENTREZGENE_ACC
526,ENSG00000147416,ATP6V1B2,ATPase H+ transporting V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854],ENTREZGENE_ACC
527,ENSG00000185883,ATP6V0C,ATPase H+ transporting V0 subunit c [Source:HGNC Symbol;Acc:HGNC:855],ENTREZGENE_ACC
528,ENSG00000155097,ATP6V1C1,ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856],ENTREZGENE_ACC
529,ENSG00000131100,ATP6V1E1,ATPase H+ transporting V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857],ENTREZGENE_ACC
533,ENSG00000117410,ATP6V0B,ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861],ENTREZGENE_ACC
534,ENSG00000213760,ATP6V1G2,ATPase H+ transporting V1 subunit G2 [Source:HGNC Symbol;Acc:HGNC:862],ENTREZGENE_ACC
535,ENSG00000033627,ATP6V0A1,ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865],ENTREZGENE_ACC
8992,ENSG00000113732,ATP6V0E1,ATPase H+ transporting V0 subunit e1 [Source:HGNC Symbol;Acc:HGNC:863],ENTREZGENE_ACC
90423,ENSG00000250565,ATP6V1E2,ATPase H+ transporting V1 subunit E2 [Source:HGNC Symbol;Acc:HGNC:18125],ENTREZGENE_ACC
9114,ENSG00000159720,ATP6V0D1,ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724],ENTREZGENE_ACC
9296,ENSG00000128524,ATP6V1F,ATPase H+ transporting V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832],ENTREZGENE_ACC
9550,ENSG00000136888,ATP6V1G1,ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864],ENTREZGENE_ACC
291,ENSG00000151729,SLC25A4,solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990],ENTREZGENE_ACC
292,ENSG00000005022,SLC25A5,solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991],ENTREZGENE_ACC
293,ENSG00000169100,SLC25A6,solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992],ENTREZGENE_ACC
293,ENSG00000292334,SLC25A6,solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992],ENTREZGENE_ACC
4126,ENSG00000109323,MANBA,mannosidase beta [Source:HGNC Symbol;Acc:HGNC:6831],ENTREZGENE_ACC
8706,ENSG00000169255,B3GALNT1,"beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918]",ENTREZGENE_ACC
8705,ENSG00000235863,B3GALT4,"beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]",ENTREZGENE_ACC
10317,ENSG00000183778,B3GALT5,"beta-1,3-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:920]",ENTREZGENE_ACC
84002,ENSG00000176597,B3GNT5,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:15684]",ENTREZGENE_ACC
570,ENSG00000136881,BAAT,bile acid-CoA:amino acid N-acyltransferase [Source:HGNC Symbol;Acc:HGNC:932],ENTREZGENE_ACC
3141,ENSG00000159267,HLCS,holocarboxylase synthetase [Source:HGNC Symbol;Acc:HGNC:4976],ENTREZGENE_ACC
8424,ENSG00000129151,BBOX1,gamma-butyrobetaine hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:964],ENTREZGENE_ACC
53630,ENSG00000135697,BCO1,beta-carotene oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:13815],ENTREZGENE_ACC
57733,ENSG00000249948,GBA3,glucosylceramidase beta 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:19069],ENTREZGENE_ACC
56052,ENSG00000033011,ALG1,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:18294],ENTREZGENE_ACC
635,ENSG00000145692,BHMT,betaine--homocysteine S-methyltransferase [Source:HGNC Symbol;Acc:HGNC:1047],ENTREZGENE_ACC
644,ENSG00000106605,BLVRA,biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062],ENTREZGENE_ACC
645,ENSG00000090013,BLVRB,biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063],ENTREZGENE_ACC
9488,ENSG00000069943,PIGB,phosphatidylinositol glycan anchor biosynthesis class B [Source:HGNC Symbol;Acc:HGNC:8959],ENTREZGENE_ACC
10380,ENSG00000162813,BPNT1,"3'(2'), 5'-bisphosphate nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:1096]",ENTREZGENE_ACC
686,ENSG00000169814,BTD,biotinidase [Source:HGNC Symbol;Acc:HGNC:1122],ENTREZGENE_ACC
51733,ENSG00000100024,UPB1,beta-ureidopropionase 1 [Source:HGNC Symbol;Acc:HGNC:16297],ENTREZGENE_ACC
3030,ENSG00000084754,HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801],ENTREZGENE_ACC
549,ENSG00000148090,AUH,AU RNA binding methylglutaconyl-CoA hydratase [Source:HGNC Symbol;Acc:HGNC:890],ENTREZGENE_ACC
1891,ENSG00000104823,ECH1,enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149],ENTREZGENE_ACC
6307,ENSG00000052802,MSMO1,methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:10545],ENTREZGENE_ACC
166785,ENSG00000151611,MMAA,metabolism of cobalamin associated A [Source:HGNC Symbol;Acc:HGNC:18871],ENTREZGENE_ACC
1373,ENSG00000021826,CPS1,carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323],ENTREZGENE_ACC
873,ENSG00000159228,CBR1,carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548],ENTREZGENE_ACC
1040,ENSG00000163624,CDS1,CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800],ENTREZGENE_ACC
8760,ENSG00000101290,CDS2,CDP-diacylglycerol synthase 2 [Source:HGNC Symbol;Acc:HGNC:1801],ENTREZGENE_ACC
10390,ENSG00000134255,CEPT1,choline/ethanolamine phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24289],ENTREZGENE_ACC
56994,ENSG00000111666,CHPT1,choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852],ENTREZGENE_ACC
64781,ENSG00000100422,CERK,ceramide kinase [Source:HGNC Symbol;Acc:HGNC:19256],ENTREZGENE_ACC
10087,ENSG00000113163,CERT1,ceramide transporter 1 [Source:HGNC Symbol;Acc:HGNC:2205],ENTREZGENE_ACC
9023,ENSG00000138135,CH25H,cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907],ENTREZGENE_ACC
1103,ENSG00000070748,CHAT,choline O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:1912],ENTREZGENE_ACC
162466,ENSG00000173868,PHOSPHO1,phosphoethanolamine/phosphocholine phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:16815],ENTREZGENE_ACC
5130,ENSG00000161217,PCYT1A,"phosphate cytidylyltransferase 1A, choline [Source:HGNC Symbol;Acc:HGNC:8754]",ENTREZGENE_ACC
9468,ENSG00000102230,PCYT1B,"phosphate cytidylyltransferase 1B, choline [Source:HGNC Symbol;Acc:HGNC:8755]",ENTREZGENE_ACC
55349,ENSG00000016391,CHDH,choline dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24288],ENTREZGENE_ACC
1119,ENSG00000110721,CHKA,choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937],ENTREZGENE_ACC
1120,ENSG00000100288,CHKB,choline kinase beta [Source:HGNC Symbol;Acc:HGNC:1938],ENTREZGENE_ACC
6820,ENSG00000088002,SULT2B1,sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459],ENTREZGENE_ACC
10948,ENSG00000131748,STARD3,StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579],ENTREZGENE_ACC
19,ENSG00000165029,ABCA1,ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29],ENTREZGENE_ACC
6576,ENSG00000100075,SLC25A1,solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979],ENTREZGENE_ACC
1159,ENSG00000223572,CKMT1A,"creatine kinase, mitochondrial 1A [Source:HGNC Symbol;Acc:HGNC:31736]",ENTREZGENE_ACC
1159,ENSG00000237289,CKMT1B,"creatine kinase, mitochondrial 1B [Source:HGNC Symbol;Acc:HGNC:1995]",ENTREZGENE_ACC
1160,ENSG00000131730,CKMT2,"creatine kinase, mitochondrial 2 [Source:HGNC Symbol;Acc:HGNC:1996]",ENTREZGENE_ACC
548596,ENSG00000223572,CKMT1A,"creatine kinase, mitochondrial 1A [Source:HGNC Symbol;Acc:HGNC:31736]",ENTREZGENE_ACC
548596,ENSG00000237289,CKMT1B,"creatine kinase, mitochondrial 1B [Source:HGNC Symbol;Acc:HGNC:1995]",ENTREZGENE_ACC
1152,ENSG00000166165,CKB,creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991],ENTREZGENE_ACC
1158,ENSG00000104879,CKM,"creatine kinase, M-type [Source:HGNC Symbol;Acc:HGNC:1994]",ENTREZGENE_ACC
54675,ENSG00000088766,CRLS1,cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148],ENTREZGENE_ACC
10559,ENSG00000164414,SLC35A1,solute carrier family 35 member A1 [Source:HGNC Symbol;Acc:HGNC:11021],ENTREZGENE_ACC
8034,ENSG00000122912,SLC25A16,solute carrier family 25 member 16 [Source:HGNC Symbol;Acc:HGNC:10986],ENTREZGENE_ACC
8824,ENSG00000172831,CES2,carboxylesterase 2 [Source:HGNC Symbol;Acc:HGNC:1864],ENTREZGENE_ACC
51805,ENSG00000132423,COQ3,"coenzyme Q3, methyltransferase [Source:HGNC Symbol;Acc:HGNC:18175]",ENTREZGENE_ACC
51004,ENSG00000119723,COQ6,"coenzyme Q6, monooxygenase [Source:HGNC Symbol;Acc:HGNC:20233]",ENTREZGENE_ACC
10229,ENSG00000167186,COQ7,"coenzyme Q7, hydroxylase [Source:HGNC Symbol;Acc:HGNC:2244]",ENTREZGENE_ACC
2650,ENSG00000187210,GCNT1,glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203],ENTREZGENE_ACC
51301,ENSG00000176928,GCNT4,glucosaminyl (N-acetyl) transferase 4 [Source:HGNC Symbol;Acc:HGNC:17973],ENTREZGENE_ACC
9245,ENSG00000140297,GCNT3,"glucosaminyl (N-acetyl) transferase 3, mucin type [Source:HGNC Symbol;Acc:HGNC:4205]",ENTREZGENE_ACC
192134,ENSG00000198488,B3GNT6,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:24141]",ENTREZGENE_ACC
1371,ENSG00000080819,CPOX,coproporphyrinogen oxidase [Source:HGNC Symbol;Acc:HGNC:2321],ENTREZGENE_ACC
1384,ENSG00000095321,CRAT,carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342],ENTREZGENE_ACC
54677,ENSG00000005469,CROT,carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366],ENTREZGENE_ACC
1503,ENSG00000171793,CTPS1,CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519],ENTREZGENE_ACC
56474,ENSG00000047230,CTPS2,CTP synthase 2 [Source:HGNC Symbol;Acc:HGNC:2520],ENTREZGENE_ACC
125965,ENSG00000160471,COX6B2,cytochrome c oxidase subunit 6B2 [Source:HGNC Symbol;Acc:HGNC:24380],ENTREZGENE_ACC
1327,ENSG00000131143,COX4I1,cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265],ENTREZGENE_ACC
1329,ENSG00000135940,COX5B,cytochrome c oxidase subunit 5B [Source:HGNC Symbol;Acc:HGNC:2269],ENTREZGENE_ACC
1337,ENSG00000111775,COX6A1,cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277],ENTREZGENE_ACC
1339,ENSG00000156885,COX6A2,cytochrome c oxidase subunit 6A2 [Source:HGNC Symbol;Acc:HGNC:2279],ENTREZGENE_ACC
1340,ENSG00000126267,COX6B1,cytochrome c oxidase subunit 6B1 [Source:HGNC Symbol;Acc:HGNC:2280],ENTREZGENE_ACC
1345,ENSG00000164919,COX6C,cytochrome c oxidase subunit 6C [Source:HGNC Symbol;Acc:HGNC:2285],ENTREZGENE_ACC
1346,ENSG00000161281,COX7A1,cytochrome c oxidase subunit 7A1 [Source:HGNC Symbol;Acc:HGNC:2287],ENTREZGENE_ACC
1347,ENSG00000112695,COX7A2,cytochrome c oxidase subunit 7A2 [Source:HGNC Symbol;Acc:HGNC:2288],ENTREZGENE_ACC
1349,ENSG00000131174,COX7B,cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291],ENTREZGENE_ACC
1350,ENSG00000127184,COX7C,cytochrome c oxidase subunit 7C [Source:HGNC Symbol;Acc:HGNC:2292],ENTREZGENE_ACC
1351,ENSG00000176340,COX8A,cytochrome c oxidase subunit 8A [Source:HGNC Symbol;Acc:HGNC:2294],ENTREZGENE_ACC
170712,ENSG00000170516,COX7B2,cytochrome c oxidase subunit 7B2 [Source:HGNC Symbol;Acc:HGNC:24381],ENTREZGENE_ACC
341947,ENSG00000187581,COX8C,cytochrome c oxidase subunit 8C [Source:HGNC Symbol;Acc:HGNC:24382],ENTREZGENE_ACC
4512,ENSG00000198804,MT-CO1,mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419],ENTREZGENE_ACC
4513,ENSG00000198712,MT-CO2,mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421],ENTREZGENE_ACC
4514,ENSG00000198938,MT-CO3,mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422],ENTREZGENE_ACC
84701,ENSG00000131055,COX4I2,cytochrome c oxidase subunit 4I2 [Source:HGNC Symbol;Acc:HGNC:16232],ENTREZGENE_ACC
9167,ENSG00000115944,COX7A2L,cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289],ENTREZGENE_ACC
9377,ENSG00000178741,COX5A,cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267],ENTREZGENE_ACC
10975,ENSG00000127540,UQCR11,"ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]",ENTREZGENE_ACC
1537,ENSG00000179091,CYC1,cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579],ENTREZGENE_ACC
27089,ENSG00000164405,UQCRQ,ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594],ENTREZGENE_ACC
29796,ENSG00000184076,UQCR10,"ubiquinol-cytochrome c reductase, complex III subunit X [Source:HGNC Symbol;Acc:HGNC:30863]",ENTREZGENE_ACC
4519,ENSG00000198727,MT-CYB,mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427],ENTREZGENE_ACC
7381,ENSG00000156467,UQCRB,ubiquinol-cytochrome c reductase binding protein [Source:HGNC Symbol;Acc:HGNC:12582],ENTREZGENE_ACC
